sample_id,location_lat,location_lon,sample_date,biodiversity_index,species_richness,genetic_diversity,dominant_species
EDNA046,22.255838776159983,70.28611714460826,2023-10-10,0.72,9,0.66,Thunnus albacares
EDNA047,11.530068638329423,72.38204438033392,2023-10-15,0.78,14,0.71,Scomberomorus commerson
EDNA048,18.02604072887758,72.04009469029982,2023-10-20,0.82,18,0.76,Lutjanus argentimaculatus
EDNA049,10.936236145004395,75.20523847406245,2023-11-01,0.67,6,0.6,Epinephelus coioides
EDNA050,18.182368522008527,72.27357303106479,2023-11-05,0.86,19,0.77,Rastrelliger kanagurta
EDNA051,22.961711666967535,70.07969471491609,2023-11-10,0.71,8,0.65,Thunnus albacares
EDNA052,18.08962711814355,72.41789769988648,2023-11-15,0.77,13,0.7,Scomberomorus commerson
EDNA053,14.891579077841875,67.99310877617043,2023-11-20,0.8,15,0.73,Lutjanus argentimaculatus
EDNA054,21.291736389694165,70.60556414553663,2023-12-01,0.74,10,0.67,Epinephelus coioides
EDNA055,15.115663210181877,68.41866232368558,2023-12-05,0.83,16,0.74,Rastrelliger kanagurta
EDNA056,17.723458740858174,72.49835055905882,2023-12-10,0.69,7,0.63,Thunnus albacares
EDNA057,11.941319520852229,72.2820343050817,2023-12-15,0.79,14,0.72,Scomberomorus commerson
EDNA058,15.03073936991972,69.10924835462643,2023-12-20,0.75,11,0.68,Lutjanus argentimaculatus
